,Year,VTSMX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,23.81,21.04,20.16,2.77,3.65,0.2,3.0,26.0
1,2000,-10.57,-9.1,-6.31,-1.47,-4.27,0.2,7.0,76.0
2,2001,-10.97,-11.89,-13.5,0.92,2.54,0.2,7.0,27.0
3,2002,-20.96,-22.1,-22.25,1.14,1.29,0.2,4.0,30.0
4,2003,31.35,28.68,27.05,2.67,4.31,0.2,0.2,12.0
5,2004,12.52,10.88,10.02,1.63,2.49,0.19,0.19,18.0
6,2005,5.98,4.91,5.88,1.07,0.1,0.19,12.0,46.0
7,2006,15.51,15.79,14.17,-0.28,1.34,0.19,4.0,28.0
8,2007,5.49,5.49,6.16,-0.0,-0.67,0.15,4.0,49.0
9,2008,-37.04,-37.0,-37.79,-0.04,0.75,0.16,5.0,39.0
10,2009,28.7,26.46,28.17,2.23,0.53,0.18,5.0,41.0
11,2010,17.09,15.06,14.01,2.03,3.09,0.17,5.0,12.0
12,2011,0.96,2.11,-1.27,-1.15,2.23,0.17,5.0,32.0
13,2012,16.25,16.0,14.96,0.25,1.29,0.17,3.0,30.0
14,2013,33.35,32.39,31.5,0.96,1.85,0.17,4.0,32.0
15,YTD,12.44,13.98,11.28,-1.54,1.16,1.16,1.16,44.0
