,Year,FADTX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,89.88,24.93,129.22,64.94,-39.34,-39.34,-39.34,76.0
1,2000,-36.57,-13.18,-31.36,-23.39,-5.22,1.15,125.0,65.0
2,2001,-26.71,-16.82,-36.89,-9.89,10.18,1.21,181.0,22.0
3,2002,-38.83,-19.89,-42.86,-18.94,4.03,1.43,190.0,24.0
4,2003,58.18,33.11,55.77,25.08,2.42,1.38,140.0,36.0
5,2004,-0.75,14.72,4.24,-15.47,-4.99,1.35,1.35,76.0
6,2005,10.61,9.49,5.76,1.12,4.85,1.26,180.0,20.0
7,2006,6.07,20.07,7.08,-14.0,-1.01,1.2,258.0,57.0
8,2007,15.52,9.04,16.12,6.49,-0.6,1.24,208.0,51.0
9,2008,-51.63,-40.71,-45.33,-10.91,-6.3,1.19,214.0,93.0
10,2009,92.88,29.99,61.99,62.9,30.9,1.22,225.0,4.0
11,2010,26.38,11.76,20.0,14.61,6.38,1.18,115.0,16.0
12,2011,-9.88,-5.54,-7.62,-4.34,-2.26,1.16,167.0,65.0
13,2012,16.64,15.83,13.08,0.81,3.55,1.17,201.0,27.0
14,2013,31.03,26.68,35.45,4.35,-4.42,1.14,142.0,62.0
15,YTD,11.97,6.66,13.32,5.31,-1.34,1.12,186.0,53.0
