,Year,FSAIX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,34.49,24.93,9.69,9.56,24.8,24.8,24.8,1.0
1,2000,39.71,-13.18,8.96,52.89,30.76,1.35,252.0,1.0
2,2001,-15.09,-16.82,0.46,1.73,-15.55,1.3,124.0,100.0
3,2002,-26.19,-19.89,-17.88,-6.3,-8.31,1.38,117.0,100.0
4,2003,35.96,33.11,33.45,2.86,2.52,1.58,56.0,69.0
5,2004,14.06,14.72,21.3,-0.66,-7.24,1.42,1.42,92.0
6,2005,21.92,9.49,9.97,12.43,11.95,1.21,71.0,1.0
7,2006,22.44,20.07,12.89,2.38,9.55,1.11,93.0,1.0
8,2007,-1.92,9.04,8.77,-10.96,-10.69,0.99,165.0,76.0
9,2008,-32.57,-40.71,-37.69,8.14,5.11,1.01,47.0,30.0
10,2009,22.26,29.99,26.94,-7.72,-4.67,1.07,66.0,77.0
11,2010,33.37,11.76,29.99,21.61,3.39,1.01,165.0,16.0
12,2011,-6.07,-5.54,-8.29,-0.53,2.22,0.91,161.0,45.0
13,2012,19.16,15.83,18.96,3.33,0.2,0.95,102.0,48.0
14,2013,50.65,26.68,41.36,23.98,9.3,0.92,74.0,4.0
15,YTD,25.75,6.66,8.61,19.1,17.15,0.86,125.0,4.0
