,Year,VITPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,,,,,,0.15,0.15,0.15
1,2002,-20.74,-22.1,-22.25,1.36,1.51,0.03,0.03,29.0
2,2003,31.74,28.68,27.05,3.06,4.69,0.03,0.03,11.0
3,2004,12.69,10.88,10.02,1.81,2.67,0.02,0.02,17.0
4,2005,6.17,4.91,5.88,1.25,0.29,0.03,27.0,43.0
5,2006,15.76,15.79,14.17,-0.03,1.59,0.03,8.0,21.0
6,2007,5.62,5.49,6.16,0.13,-0.54,0.03,10.0,47.0
7,2008,-36.89,-37.0,-37.79,0.11,0.9,0.02,13.0,36.0
8,2009,28.92,26.46,28.17,2.46,0.75,0.02,13.0,39.0
9,2010,17.25,15.06,14.01,2.19,3.25,0.02,10.0,12.0
10,2011,1.11,2.11,-1.27,-1.0,2.38,0.02,10.0,30.0
11,2012,16.53,16.0,14.96,0.52,1.57,0.02,8.0,25.0
12,2013,33.63,32.39,31.5,1.24,2.12,0.02,9.0,30.0
13,YTD,12.64,13.98,11.28,-1.33,1.36,1.36,1.36,40.0
