,Year,FRMOX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.32,-2.06,-4.34,-2.26,0.02,0.02,15.0,50.0
1,2000,11.68,11.68,11.02,-0.0,0.66,0.69,18.0,23.0
2,2001,5.04,5.13,4.32,-0.09,0.72,0.69,38.0,18.0
3,2002,8.86,9.6,8.53,-0.75,0.33,0.68,23.0,33.0
4,2003,5.24,5.31,4.79,-0.07,0.46,0.67,19.0,26.0
5,2004,4.69,4.48,3.84,0.21,0.85,0.67,0.67,21.0
6,2005,4.35,3.51,2.96,0.84,1.39,0.67,18.0,3.0
7,2006,4.82,4.84,4.41,-0.02,0.41,0.66,15.0,23.0
8,2007,2.29,3.36,1.65,-1.07,0.65,0.66,20.0,30.0
9,2008,-4.96,-2.47,-10.07,-2.49,5.11,0.66,16.0,19.0
10,2009,13.45,12.91,19.1,0.54,-5.64,0.65,12.0,84.0
11,2010,1.06,2.38,1.18,-1.32,-0.12,0.65,6.0,58.0
12,2011,11.65,10.7,10.2,0.95,1.44,0.64,9.0,16.0
13,2012,6.83,6.78,7.57,0.05,-0.74,0.64,13.0,67.0
14,2013,-5.83,-2.55,-5.66,-3.28,-0.17,0.63,9.0,68.0
15,YTD,8.56,8.5,9.57,0.06,-1.01,0.62,11.0,72.0
