,Year,JPIAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,,,,,,1.0,1.0,1.0
1,2004,12.68,10.88,10.02,1.8,2.66,1.0,1.0,17.0
2,2005,9.23,4.91,5.88,4.32,3.35,1.0,109.0,14.0
3,2006,16.05,15.79,14.17,0.26,1.88,1.0,47.0,18.0
4,2007,3.62,5.49,6.16,-1.87,-2.54,1.0,81.0,75.0
5,2008,-38.98,-37.0,-37.79,-1.98,-1.19,1.0,89.0,66.0
6,2009,29.66,26.46,28.17,3.19,1.49,1.0,125.0,34.0
7,2010,14.01,15.06,14.01,-1.05,0.01,1.0,108.0,48.0
8,2011,-0.06,2.11,-1.27,-2.17,1.21,0.99,102.0,41.0
9,2012,17.03,16.0,14.96,1.03,2.07,1.0,95.0,20.0
10,2013,34.54,32.39,31.5,2.15,3.04,0.99,68.0,24.0
11,YTD,16.57,13.98,11.28,2.59,5.29,0.79,67.0,2.0
