,Year,FKRCX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,25.39,24.93,6.16,0.46,19.23,19.23,4.0,7.0
1,2000,-7.38,-13.18,-16.92,5.8,9.54,1.34,4.0,7.0
2,2001,10.0,-16.82,19.57,26.82,-9.57,1.32,7.0,78.0
3,2002,37.38,-19.89,63.93,57.27,-26.55,1.13,13.0,91.0
4,2003,52.32,33.11,57.15,19.22,-4.83,1.09,7.0,55.0
5,2004,-5.47,14.72,-8.21,-20.19,2.74,0.96,0.96,25.0
6,2005,40.59,9.49,30.81,31.1,9.78,0.96,11.0,6.0
7,2006,31.7,20.07,31.64,11.63,0.06,0.92,11.0,50.0
8,2007,25.59,9.04,23.19,16.55,2.4,0.93,7.0,23.0
9,2008,-30.89,-40.71,-29.85,9.83,-1.03,0.89,4.0,66.0
10,2009,69.56,29.99,52.56,39.57,17.0,1.01,17.0,13.0
11,2010,49.21,11.76,41.56,37.44,7.65,0.95,18.0,19.0
12,2011,-24.84,-5.54,-20.68,-19.3,-4.16,0.91,8.0,79.0
13,2012,-14.78,15.83,-9.2,-30.61,-5.58,0.96,8.0,92.0
14,2013,-48.03,26.68,-48.8,-74.71,0.77,1.01,7.0,36.0
15,YTD,-9.27,6.66,-10.49,-15.93,1.22,1.07,16.0,52.0
