,Year,NGAMX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.32,-2.06,-2.66,0.74,1.34,1.34,1.34,96.0
1,2000,8.3,11.68,9.62,-3.39,-1.33,0.5,28.0,3.0
2,2001,5.55,5.13,4.37,0.43,1.18,0.5,10.0,8.0
3,2002,6.3,9.6,8.12,-3.31,-1.82,0.5,6.0,36.0
4,2003,4.35,5.31,4.03,-0.97,0.31,0.53,15.0,3.0
5,2004,3.13,4.48,2.88,-1.35,0.26,0.5,0.5,1.0
6,2005,1.85,3.51,2.08,-1.67,-0.23,0.5,8.0,20.0
7,2006,3.78,4.84,3.77,-1.06,0.01,0.5,12.0,45.0
8,2007,3.31,3.36,2.05,-0.05,1.26,0.5,17.0,23.0
9,2008,-1.62,-2.47,-2.81,0.85,1.19,0.5,28.0,47.0
10,2009,10.41,12.91,11.29,-2.51,-0.88,0.5,22.0,53.0
11,2010,2.86,2.38,1.65,0.48,1.21,0.53,22.0,5.0
12,2011,9.17,10.7,8.9,-1.53,0.27,0.55,11.0,39.0
13,2012,3.94,6.78,4.75,-2.84,-0.81,0.55,0.55,73.0
14,2013,-1.28,-2.55,-2.82,1.28,1.54,0.56,16.0,5.0
15,YTD,5.13,8.5,6.39,-3.37,-1.26,0.56,5.0,77.0
