,Year,PRMTX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,93.09,24.93,62.7,68.16,30.39,0.93,58.0,15.0
1,2000,-25.11,-13.18,-33.17,-11.93,8.07,0.94,198.0,18.0
2,2001,-6.93,-16.82,-32.88,9.9,25.95,1.08,241.0,3.0
3,2002,-28.39,-19.89,-39.5,-8.5,11.12,1.15,185.0,7.0
4,2003,55.99,33.11,44.35,22.89,11.65,1.1,1.1,35.0
5,2004,26.3,14.72,21.32,11.58,4.98,0.96,0.96,9.0
6,2005,18.15,9.49,7.66,8.66,10.49,0.92,78.0,6.0
7,2006,28.55,20.07,19.96,8.48,8.59,0.87,55.0,14.0
8,2007,21.83,9.04,11.05,12.79,10.78,0.82,65.0,29.0
9,2008,-46.46,-40.71,-49.47,-5.75,3.01,0.9,72.0,31.0
10,2009,68.52,29.99,40.74,38.53,27.78,0.9,69.0,16.0
11,2010,26.79,11.76,19.92,15.03,6.87,0.84,42.0,20.0
12,2011,-0.03,-5.54,-5.31,5.51,5.27,0.83,41.0,29.0
13,2012,22.69,15.83,16.71,6.87,5.98,0.81,39.0,10.0
14,2013,40.78,26.68,26.34,14.1,14.44,0.8,54.0,1.0
15,YTD,7.98,6.66,4.39,1.32,3.58,3.58,3.58,4.0
