,Year,GTFBX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.65,-2.06,-4.34,-1.59,0.69,0.69,20.0,32.0
1,2000,11.61,11.68,11.02,-0.07,0.59,0.65,49.0,26.0
2,2001,4.76,5.13,4.32,-0.36,0.45,0.65,34.0,27.0
3,2002,8.87,9.6,8.53,-0.74,0.33,0.65,32.0,33.0
4,2003,5.09,5.31,4.79,-0.23,0.3,0.65,25.0,31.0
5,2004,4.0,4.48,3.84,-0.47,0.17,0.65,0.65,41.0
6,2005,3.21,3.51,2.96,-0.3,0.25,0.64,25.0,34.0
7,2006,4.23,4.84,4.41,-0.61,-0.18,0.62,18.0,46.0
8,2007,2.07,3.36,1.65,-1.29,0.42,0.6,27.0,40.0
9,2008,-5.38,-2.47,-10.07,-2.9,4.69,0.61,20.0,25.0
10,2009,14.68,12.91,19.1,1.77,-4.41,0.62,28.0,67.0
11,2010,1.09,2.38,1.18,-1.29,-0.09,0.57,11.0,57.0
12,2011,10.35,10.7,10.2,-0.35,0.14,0.55,21.0,44.0
13,2012,7.55,6.78,7.57,0.77,-0.02,0.56,13.0,41.0
14,2013,-2.95,-2.55,-5.66,-0.4,2.7,0.53,5.0,9.0
15,YTD,8.89,8.5,9.57,0.38,-0.68,0.54,10.0,60.0
