,Year,FSLBX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,30.65,24.93,-1.79,5.71,32.44,32.44,32.44,1.0
1,2000,28.08,-13.18,27.74,41.26,0.34,1.28,47.0,48.0
2,2001,-9.09,-16.82,-2.05,7.74,-7.03,1.08,74.0,81.0
3,2002,-17.24,-19.89,-10.28,2.65,-6.96,1.11,74.0,76.0
4,2003,36.47,33.11,33.56,3.37,2.91,1.16,64.0,29.0
5,2004,12.95,14.72,14.02,-1.77,-1.06,1.1,1.1,53.0
6,2005,29.88,9.49,6.74,20.4,23.15,0.94,98.0,1.0
7,2006,21.24,20.07,16.9,1.17,4.34,0.89,112.0,9.0
8,2007,-0.15,9.04,-11.64,-9.18,11.49,0.89,124.0,3.0
9,2008,-49.31,-40.71,-43.91,-8.6,-5.41,0.87,84.0,64.0
10,2009,50.41,29.99,25.26,20.42,25.15,0.89,351.0,7.0
11,2010,11.2,11.76,11.13,-0.57,0.06,0.89,264.0,57.0
12,2011,-22.84,-5.54,-15.12,-17.3,-7.72,0.86,153.0,93.0
13,2012,28.31,15.83,24.77,12.49,3.54,0.85,294.0,29.0
14,2013,48.87,26.68,34.57,22.2,14.3,0.78,308.0,1.0
15,YTD,3.25,6.66,4.86,-3.41,-1.62,0.8,182.0,69.0
