,Year,FDGRX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,79.48,21.04,38.87,58.43,40.6,0.72,0.72,6.0
1,2000,-6.32,-9.1,-13.05,2.79,6.73,0.85,69.0,23.0
2,2001,-25.31,-11.89,-22.3,-13.43,-3.01,0.95,93.0,68.0
3,2002,-33.45,-22.1,-27.64,-11.35,-5.8,1.08,63.0,85.0
4,2003,41.36,28.68,28.66,12.68,12.7,0.83,0.83,6.0
5,2004,12.12,10.88,7.81,1.24,4.32,0.82,0.82,14.0
6,2005,13.5,4.91,6.71,8.59,6.79,0.94,50.0,10.0
7,2006,9.56,15.79,7.05,-6.24,2.5,0.96,54.0,26.0
8,2007,19.89,5.49,13.35,14.39,6.53,0.93,49.0,18.0
9,2008,-40.9,-37.0,-40.67,-3.9,-0.23,0.96,55.0,53.0
10,2009,41.15,26.46,35.68,14.69,5.47,0.93,64.0,23.0
11,2010,20.55,15.06,15.53,5.48,5.02,0.89,36.0,12.0
12,2011,0.67,2.11,-2.46,-1.44,3.14,0.84,36.0,24.0
13,2012,18.52,16.0,15.34,2.52,3.18,0.9,33.0,17.0
14,2013,37.61,32.39,33.92,5.22,3.69,0.83,26.0,17.0
15,YTD,14.23,13.98,10.79,0.25,3.44,3.44,3.44,14.0
