,Year,VNJTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.35,-2.06,-4.41,-0.29,2.06,0.19,11.0,13.0
1,2000,12.48,11.68,10.78,0.79,1.7,0.19,14.0,10.0
2,2001,4.58,5.13,4.05,-0.55,0.53,0.2,8.0,24.0
3,2002,9.92,9.6,8.13,0.32,1.79,0.18,15.0,4.0
4,2003,5.17,5.31,4.68,-0.15,0.48,0.17,0.17,26.0
5,2004,3.98,4.48,3.55,-0.5,0.42,0.14,0.14,31.0
6,2005,2.85,3.51,3.38,-0.66,-0.53,0.16,19.0,55.0
7,2006,5.24,4.84,4.65,0.39,0.58,0.16,15.0,29.0
8,2007,2.86,3.36,1.43,-0.5,1.43,0.15,14.0,16.0
9,2008,-3.05,-2.47,-8.16,-0.57,5.11,0.15,37.0,21.0
10,2009,11.76,12.91,17.34,-1.16,-5.59,0.2,22.0,90.0
11,2010,1.27,2.38,1.38,-1.1,-0.1,0.2,17.0,61.0
12,2011,9.96,10.7,10.38,-0.74,-0.42,0.2,12.0,70.0
13,2012,7.09,6.78,8.37,0.31,-1.29,0.2,17.0,62.0
14,2013,-2.5,-2.55,-5.14,0.05,2.64,0.2,35.0,4.0
15,YTD,9.01,8.5,9.39,0.51,-0.38,-0.38,-0.38,47.0
