,Year,NAESX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,23.13,21.04,19.95,2.09,3.18,0.25,42.0,32.0
1,2000,-2.67,-9.1,11.89,6.44,-14.55,0.27,49.0,85.0
2,2001,3.1,-11.89,8.92,14.99,-5.82,0.27,39.0,73.0
3,2002,-20.02,-22.1,-16.22,2.08,-3.8,0.27,32.0,71.0
4,2003,45.63,28.68,43.41,16.94,2.22,0.27,0.27,36.0
5,2004,19.9,10.88,18.94,9.01,0.96,0.23,0.23,43.0
6,2005,7.36,4.91,6.75,2.45,0.62,0.23,18.0,42.0
7,2006,15.66,15.79,15.03,-0.14,0.63,0.23,13.0,42.0
8,2007,1.16,5.49,-1.1,-4.34,2.25,0.22,16.0,30.0
9,2008,-36.07,-37.0,-36.56,0.93,0.49,0.23,14.0,53.0
10,2009,36.12,26.46,31.8,9.65,4.32,0.28,14.0,26.0
11,2010,27.72,15.06,25.61,12.66,2.11,0.26,12.0,25.0
12,2011,-2.8,2.11,-4.07,-4.92,1.26,0.24,17.0,44.0
13,2012,18.04,16.0,15.46,2.04,2.58,0.24,14.0,22.0
14,2013,37.62,32.39,37.39,5.23,0.23,0.24,29.0,49.0
15,YTD,6.04,13.98,1.83,-7.94,4.21,4.21,4.21,9.0
