,Year,FHIAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,,,,,,1.0,331.0,331.0
1,2000,-5.55,11.63,-7.12,-17.18,1.57,0.98,157.0,99.0
2,2001,9.3,8.44,2.39,0.85,6.91,6.91,139.0,6.0
3,2002,1.61,10.26,-1.52,-8.64,3.13,1.0,103.0,23.0
4,2003,23.69,4.1,24.36,19.58,-0.67,1.0,1.0,53.0
5,2004,9.58,4.34,9.99,5.25,-0.4,1.0,1.0,57.0
6,2005,2.6,2.43,2.59,0.17,0.01,1.0,115.0,49.0
7,2006,10.85,4.33,10.14,6.52,0.72,1.0,72.0,30.0
8,2007,2.58,6.97,1.47,-4.38,1.11,1.03,69.0,29.0
9,2008,-24.93,5.24,-26.41,-30.17,1.48,1.1,62.0,50.0
10,2009,41.82,5.93,46.7,35.89,-4.88,1.08,54.0,71.0
11,2010,13.59,6.54,14.24,7.05,-0.65,1.06,79.0,61.0
12,2011,4.06,7.84,2.83,-3.79,1.23,1.04,75.0,35.0
13,2012,14.02,4.21,14.67,9.81,-0.65,1.03,48.0,66.0
14,2013,5.69,-2.02,6.9,7.71,-1.21,1.03,76.0,69.0
15,YTD,2.86,5.87,2.83,-3.01,0.03,0.03,0.03,53.0
