,Year,FWWFX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,30.8,30.63,41.13,0.17,-10.33,1.07,164.0,53.0
1,2000,-8.01,-15.31,-9.14,7.3,1.13,1.04,235.0,40.0
2,2001,-6.21,-19.73,-17.51,13.53,11.31,1.05,152.0,11.0
3,2002,-18.83,-14.95,-19.36,-3.88,0.53,1.2,142.0,42.0
4,2003,38.41,40.83,34.49,-2.42,3.92,1.28,1.28,24.0
5,2004,12.24,20.91,15.27,-8.66,-3.02,1.19,1.19,76.0
6,2005,13.57,16.62,11.61,-3.05,1.96,1.01,93.0,37.0
7,2006,17.42,26.65,19.72,-9.23,-2.29,1.02,205.0,71.0
8,2007,18.49,16.65,11.28,1.84,7.21,1.02,128.0,12.0
9,2008,-40.24,-45.53,-41.91,5.28,1.66,1.19,264.0,39.0
10,2009,28.53,41.45,35.27,-12.91,-6.74,1.24,224.0,74.0
11,2010,17.04,11.15,13.74,5.89,3.3,1.12,166.0,23.0
12,2011,-6.73,-13.71,-7.93,6.98,1.2,1.05,203.0,39.0
13,2012,18.76,16.83,15.84,1.93,2.92,1.09,186.0,28.0
14,2013,31.55,15.29,25.19,16.26,6.36,1.08,161.0,15.0
15,YTD,2.48,-0.27,4.54,2.75,-2.06,-2.06,-2.06,73.0
