,Year,FBIOX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,77.77,24.93,18.58,52.84,59.19,59.19,59.19,9.0
1,2000,32.75,-13.18,56.75,45.93,-24.0,1.0,74.0,87.0
2,2001,-24.98,-16.82,-11.26,-8.15,-13.72,1.0,101.0,91.0
3,2002,-40.53,-19.89,-28.13,-20.64,-12.39,1.09,96.0,87.0
4,2003,32.92,33.11,32.51,-0.19,0.41,1.24,73.0,40.0
5,2004,11.99,14.72,9.84,-2.74,2.14,1.15,1.15,27.0
6,2005,8.76,9.49,9.64,-0.73,-0.88,0.98,19.0,52.0
7,2006,3.6,20.07,4.27,-16.46,-0.66,0.93,63.0,53.0
8,2007,2.65,9.04,9.27,-6.39,-6.62,0.92,70.0,83.0
9,2008,-11.35,-40.71,-23.43,29.36,12.08,0.89,143.0,9.0
10,2009,10.79,29.99,22.48,-19.19,-11.68,0.89,55.0,88.0
11,2010,11.41,11.76,8.38,-0.36,3.03,0.91,109.0,22.0
12,2011,18.18,-5.54,7.66,23.72,10.52,0.86,119.0,4.0
13,2012,36.59,15.83,21.55,20.76,15.04,0.83,106.0,4.0
14,2013,65.66,26.68,48.17,38.99,17.5,0.79,42.0,3.0
15,YTD,32.01,6.66,26.63,25.35,5.37,0.75,35.0,13.0
