,Year,VWITX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.5,-2.06,-2.06,1.55,1.56,0.18,17.0,8.0
1,2000,9.24,11.68,9.16,-2.44,0.08,0.18,17.0,43.0
2,2001,5.05,5.13,4.39,-0.08,0.65,0.19,13.0,17.0
3,2002,7.91,9.6,8.57,-1.69,-0.66,0.17,13.0,67.0
4,2003,4.46,5.31,4.1,-0.85,0.36,0.17,0.17,31.0
5,2004,3.23,4.48,2.83,-1.25,0.4,0.14,0.14,28.0
6,2005,2.24,3.51,1.8,-1.28,0.44,0.16,12.0,31.0
7,2006,4.43,4.84,3.67,-0.41,0.76,0.17,8.0,15.0
8,2007,3.43,3.36,2.75,0.07,0.68,0.15,12.0,31.0
9,2008,-0.14,-2.47,-2.32,2.34,2.18,0.15,23.0,32.0
10,2009,10.22,12.91,11.41,-2.7,-1.19,0.2,19.0,59.0
11,2010,2.13,2.38,2.22,-0.24,-0.09,0.2,20.0,56.0
12,2011,9.62,10.7,9.0,-1.08,0.62,0.2,15.0,32.0
13,2012,5.7,6.78,5.62,-1.08,0.07,0.2,11.0,38.0
14,2013,-1.56,-2.55,-2.27,1.0,0.71,0.2,16.0,27.0
15,YTD,6.68,8.5,6.44,-1.83,0.23,0.23,0.23,39.0
