,Year,PRFSX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,0.99,-2.06,0.74,3.05,0.26,0.26,40.0,43.0
1,2000,6.76,11.68,5.87,-4.93,0.88,0.53,41.0,15.0
2,2001,5.81,5.13,4.77,0.68,1.04,0.53,41.0,1.0
3,2002,6.16,9.6,5.39,-3.44,0.77,0.52,30.0,42.0
4,2003,2.78,5.31,2.44,-2.53,0.35,0.52,30.0,33.0
5,2004,1.6,4.48,1.19,-2.88,0.41,0.51,0.51,23.0
6,2005,0.97,3.51,1.21,-2.55,-0.25,0.51,27.0,63.0
7,2006,3.26,4.84,2.95,-1.59,0.3,0.51,30.0,32.0
8,2007,3.85,3.36,3.31,0.5,0.55,0.51,47.0,33.0
9,2008,3.0,-2.47,0.86,5.48,2.14,0.51,43.0,30.0
10,2009,7.24,12.91,5.91,-5.68,1.33,0.51,25.0,21.0
11,2010,2.08,2.38,1.61,-0.3,0.47,0.5,8.0,29.0
12,2011,4.59,10.7,3.6,-6.11,1.0,0.49,18.0,29.0
13,2012,2.14,6.78,1.92,-4.64,0.22,0.5,23.0,35.0
14,2013,0.53,-2.55,-0.07,3.08,0.6,0.49,17.0,24.0
15,YTD,1.9,8.5,1.6,-6.61,0.29,0.5,20.0,32.0
