,Year,PRFHX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-5.1,-2.06,-3.71,-3.05,-1.39,-1.39,39.0,66.0
1,2000,8.14,11.68,5.54,-3.55,2.59,0.71,57.0,8.0
2,2001,4.66,5.13,5.41,-0.47,-0.75,0.72,15.0,53.0
3,2002,6.38,9.6,6.29,-3.22,0.09,0.71,33.0,43.0
4,2003,7.1,5.31,7.01,1.78,0.08,0.71,31.0,31.0
5,2004,6.64,4.48,6.57,2.16,0.07,0.71,0.71,36.0
6,2005,6.26,3.51,6.35,2.74,-0.09,0.7,23.0,46.0
7,2006,6.88,4.84,7.14,2.03,-0.27,0.7,20.0,43.0
8,2007,-1.15,3.36,-3.31,-4.51,2.15,0.72,25.0,30.0
9,2008,-21.49,-2.47,-25.27,-19.02,3.77,0.72,31.0,32.0
10,2009,31.41,12.91,30.89,18.49,0.51,0.71,29.0,37.0
11,2010,3.91,2.38,3.77,1.53,0.14,0.68,16.0,48.0
12,2011,10.97,10.7,10.18,0.27,0.79,0.68,24.0,37.0
13,2012,13.65,6.78,13.82,6.87,-0.17,0.68,13.0,47.0
14,2013,-4.51,-2.55,-5.99,-1.95,1.48,0.67,12.0,15.0
15,YTD,13.8,8.5,12.88,5.3,0.93,0.68,23.0,35.0
