,Year,VIVAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,12.57,21.04,6.72,-8.47,5.85,0.22,41.0,23.0
1,2000,6.08,-9.1,7.87,15.19,-1.79,0.22,37.0,58.0
2,2001,-11.88,-11.89,-4.99,0.01,-6.89,0.22,38.0,87.0
3,2002,-20.91,-22.1,-18.69,1.19,-2.21,0.23,26.0,69.0
4,2003,32.25,28.68,28.44,3.56,3.81,0.23,0.23,18.0
5,2004,15.29,10.88,12.97,4.41,2.32,0.21,0.21,21.0
6,2005,7.09,4.91,5.95,2.18,1.14,0.21,21.0,33.0
7,2006,22.15,15.79,18.15,6.35,4.0,0.21,20.0,7.0
8,2007,0.09,5.49,1.42,-5.41,-1.34,0.2,20.0,63.0
9,2008,-35.97,-37.0,-37.09,1.03,1.12,0.21,27.0,42.0
10,2009,19.58,26.46,24.13,-6.89,-4.55,0.26,31.0,68.0
11,2010,14.28,15.06,13.66,-0.78,0.62,0.26,27.0,36.0
12,2011,1.0,2.11,-0.75,-1.12,1.74,0.24,23.0,33.0
13,2012,15.0,16.0,14.57,-1.0,0.44,0.24,22.0,47.0
14,2013,32.85,32.39,31.21,0.46,1.64,0.24,25.0,35.0
15,YTD,12.68,13.98,10.25,-1.29,2.43,2.43,2.43,16.0
