,Year,FMINX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.74,-2.06,-4.03,-1.68,0.3,0.3,16.0,37.0
1,2000,11.92,11.68,10.11,0.24,1.81,0.66,16.0,9.0
2,2001,4.73,5.13,4.46,-0.4,0.27,0.67,25.0,34.0
3,2002,7.99,9.6,8.01,-1.61,-0.02,0.66,5.0,52.0
4,2003,5.17,5.31,5.14,-0.14,0.03,0.67,13.0,40.0
5,2004,4.23,4.48,3.89,-0.25,0.34,0.67,0.67,24.0
6,2005,3.28,3.51,3.11,-0.24,0.17,0.67,12.0,39.0
7,2006,4.36,4.84,4.19,-0.48,0.17,0.67,13.0,32.0
8,2007,3.22,3.36,1.35,-0.14,1.87,0.66,14.0,1.0
9,2008,-1.0,-2.47,-6.48,1.48,5.48,0.67,10.0,15.0
10,2009,10.61,12.91,15.72,-2.31,-5.11,0.66,22.0,78.0
11,2010,1.2,2.38,1.62,-1.18,-0.41,0.65,10.0,64.0
12,2011,10.92,10.7,10.32,0.22,0.61,0.65,15.0,20.0
13,2012,6.61,6.78,6.66,-0.17,-0.05,0.65,5.0,49.0
14,2013,-3.77,-2.55,-3.07,-1.22,-0.7,0.64,7.0,76.0
15,YTD,7.55,8.5,7.92,-0.95,-0.37,0.64,7.0,44.0
