,Year,FCVAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,17.21,4.91,6.4,12.3,10.81,1.38,60.0,3.0
1,2006,15.33,15.79,16.27,-0.46,-0.94,1.36,93.0,45.0
2,2007,0.78,5.49,-6.08,-4.71,6.86,1.4,67.0,32.0
3,2008,-30.52,-37.0,-32.24,6.48,1.72,1.4,149.0,12.0
4,2009,36.46,26.46,31.32,10.0,5.14,1.4,51.0,23.0
5,2010,24.77,15.06,26.17,9.71,-1.4,1.39,49.0,67.0
6,2011,-3.98,2.11,-4.45,-6.09,0.47,1.43,22.0,48.0
7,2012,19.8,16.0,16.0,3.8,3.8,1.44,27.0,20.0
8,2013,36.72,32.39,36.22,4.34,0.51,1.36,29.0,43.0
9,YTD,3.25,13.98,1.3,-10.73,1.95,1.34,26.0,29.0
