,Year,FIGRX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,53.71,30.63,40.28,23.08,13.42,1.1,94.0,21.0
1,2000,-14.06,-15.31,-16.34,1.25,2.28,1.05,104.0,31.0
2,2001,-17.43,-19.73,-21.67,2.3,4.24,1.09,81.0,13.0
3,2002,-9.87,-14.95,-16.69,5.08,6.83,1.12,63.0,6.0
4,2003,43.34,40.83,33.58,2.51,9.76,1.11,1.11,3.0
5,2004,19.05,20.91,17.39,-1.85,1.67,1.06,1.06,29.0
6,2005,18.55,16.62,14.72,1.93,3.83,1.01,75.0,14.0
7,2006,24.22,26.65,24.77,-2.43,-0.55,1.03,56.0,58.0
8,2007,18.98,16.65,12.71,2.33,6.27,1.0,56.0,9.0
9,2008,-44.28,-45.53,-43.99,1.25,-0.29,1.05,79.0,54.0
10,2009,30.07,41.45,31.24,-11.37,-1.17,1.07,98.0,52.0
11,2010,11.0,11.15,10.24,-0.15,0.77,1.0,82.0,41.0
12,2011,-15.23,-13.71,-13.97,-1.52,-1.27,0.92,75.0,70.0
13,2012,21.93,16.83,18.29,5.1,3.64,0.98,68.0,11.0
14,2013,24.94,15.29,19.44,9.65,5.5,0.98,65.0,11.0
15,YTD,-2.67,-0.27,-1.63,-2.4,-1.03,-1.03,-1.03,67.0
