,Year,OPGSX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,15.4,24.93,6.16,-9.53,9.24,9.24,45.0,20.0
1,2000,-15.11,-13.18,-16.92,-1.93,1.81,1.45,36.0,48.0
2,2001,19.73,-16.82,19.57,36.55,0.15,1.34,25.0,44.0
3,2002,42.48,-19.89,63.93,62.37,-21.45,1.45,60.0,78.0
4,2003,59.65,33.11,57.15,26.54,2.5,1.4,134.0,28.0
5,2004,-4.31,14.72,-8.21,-19.03,3.91,1.27,1.27,7.0
6,2005,31.92,9.49,30.81,22.43,1.11,1.26,81.0,48.0
7,2006,43.64,20.07,31.64,23.57,12.0,1.18,152.0,10.0
8,2007,30.28,9.04,23.19,21.24,7.09,1.1,46.0,4.0
9,2008,-39.11,-40.71,-29.85,1.61,-9.25,1.05,45.0,86.0
10,2009,79.31,29.99,52.56,49.33,26.75,1.19,81.0,5.0
11,2010,54.5,11.76,41.56,42.74,12.94,1.12,20.0,2.0
12,2011,-25.69,-5.54,-20.68,-20.15,-5.01,1.07,37.0,87.0
13,2012,-9.14,15.83,-9.2,-24.97,0.06,1.18,44.0,59.0
14,2013,-47.83,26.68,-48.8,-74.5,0.98,1.23,41.0,31.0
15,YTD,-17.21,6.66,-10.49,-23.87,-6.72,1.21,95.0,86.0
