,Year,FPBFX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,119.61,30.63,95.04,88.98,24.57,24.57,101.0,21.0
1,2000,-35.32,-15.31,-34.33,-20.0,-0.99,1.22,144.0,57.0
2,2001,-19.9,-19.73,-17.22,-0.16,-2.67,1.45,123.0,53.0
3,2002,-7.87,-14.95,-12.31,7.08,4.44,1.5,98.0,5.0
4,2003,38.69,40.83,36.79,-2.14,1.89,1.17,1.17,50.0
5,2004,14.08,20.91,16.79,-6.83,-2.72,1.19,1.19,82.0
6,2005,32.52,16.62,27.13,15.91,5.39,1.05,78.0,34.0
7,2006,16.16,26.65,20.7,-10.49,-4.54,1.08,75.0,90.0
8,2007,25.23,16.65,18.15,8.58,7.09,1.13,91.0,10.0
9,2008,-55.76,-45.53,-42.21,-10.23,-13.55,1.17,73.0,100.0
10,2009,59.32,41.45,34.7,17.87,24.62,0.85,91.0,1.0
11,2010,32.8,11.15,16.57,21.65,16.23,1.03,66.0,1.0
12,2011,-17.01,-13.71,-17.97,-3.3,0.96,1.1,59.0,49.0
13,2012,20.04,16.83,20.4,3.21,-0.36,1.26,26.0,58.0
14,2013,27.43,15.29,13.85,12.14,13.58,1.21,82.0,1.0
15,YTD,2.24,-0.27,2.44,2.51,-0.2,-0.2,-0.2,54.0
