,Year,FIMIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.44,-2.06,-4.03,-0.38,1.6,0.51,21.0,10.0
1,2000,10.62,11.68,10.11,-1.07,0.5,0.46,18.0,37.0
2,2001,4.64,5.13,4.46,-0.48,0.19,0.46,7.0,34.0
3,2002,8.57,9.6,8.01,-1.04,0.55,0.49,25.0,25.0
4,2003,5.27,5.31,5.14,-0.04,0.13,0.49,0.49,30.0
5,2004,3.92,4.48,3.89,-0.56,0.03,0.49,0.49,47.0
6,2005,2.61,3.51,3.11,-0.9,-0.49,0.48,15.0,55.0
7,2006,4.17,4.84,4.19,-0.67,-0.02,0.47,15.0,45.0
8,2007,3.17,3.36,1.35,-0.19,1.82,0.44,11.0,6.0
9,2008,-0.28,-2.47,-6.48,2.2,6.2,0.47,9.0,11.0
10,2009,9.89,12.91,15.72,-3.02,-5.83,0.51,7.0,90.0
11,2010,2.42,2.38,1.62,0.04,0.8,0.49,13.0,20.0
12,2011,9.1,10.7,10.32,-1.6,-1.21,0.49,9.0,85.0
13,2012,4.9,6.78,6.66,-1.88,-1.75,0.49,15.0,85.0
14,2013,-1.91,-2.55,-3.07,0.64,1.16,0.49,14.0,11.0
15,YTD,6.31,8.5,7.92,-2.2,-1.61,-1.61,-1.61,87.0
