,Year,SEEGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,27.81,21.04,38.87,6.77,-11.07,-11.07,86.0,67.0
1,2000,-24.01,-9.1,-13.05,-14.9,-10.96,0.94,123.0,88.0
2,2001,-20.32,-11.89,-22.3,-8.43,1.99,0.93,73.0,45.0
3,2002,-28.38,-22.1,-27.64,-6.28,-0.74,0.97,69.0,55.0
4,2003,27.28,28.68,28.66,-1.4,-1.38,0.99,60.0,49.0
5,2004,7.02,10.88,7.81,-3.86,-0.79,0.99,0.99,56.0
6,2005,4.9,4.91,6.71,-0.01,-1.82,0.99,112.0,62.0
7,2006,6.21,15.79,7.05,-9.58,-0.84,0.99,49.0,60.0
8,2007,23.7,5.49,13.35,18.21,10.35,0.99,35.0,8.0
9,2008,-39.56,-37.0,-40.67,-2.56,1.11,0.99,52.0,42.0
10,2009,34.81,26.46,35.68,8.34,-0.88,0.99,124.0,47.0
11,2010,22.63,15.06,15.53,7.57,7.11,0.99,61.0,6.0
12,2011,2.9,2.11,-2.46,0.79,5.36,0.91,84.0,8.0
13,2012,12.11,16.0,15.34,-3.89,-3.23,0.89,28.0,84.0
14,2013,32.69,32.39,33.92,0.3,-1.23,0.91,47.0,60.0
15,YTD,11.3,13.98,10.79,-2.68,0.51,0.93,39.0,45.0
