,Year,VSIEX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,39.16,30.63,40.28,8.53,-1.12,0.06,114.0,42.0
1,2000,-16.59,-15.31,-16.34,-1.28,-0.25,0.66,149.0,49.0
2,2001,-16.99,-19.73,-21.67,2.74,4.68,1.0,33.0,12.0
3,2002,-12.29,-14.95,-16.69,2.66,4.4,1.03,20.0,15.0
4,2003,31.93,40.83,33.58,-8.9,-1.65,1.1,1.1,58.0
5,2004,18.64,20.91,17.39,-2.27,1.25,1.06,1.06,34.0
6,2005,11.17,16.62,14.72,-5.45,-3.55,1.07,22.0,86.0
7,2006,22.86,26.65,24.77,-3.79,-1.91,1.06,22.0,73.0
8,2007,9.72,16.65,12.71,-6.93,-2.99,1.07,14.0,73.0
9,2008,-40.64,-45.53,-43.99,4.88,3.35,0.9,13.0,14.0
10,2009,34.62,41.45,31.24,-6.83,3.37,1.06,14.0,28.0
11,2010,7.33,11.15,10.24,-3.83,-2.91,1.06,15.0,77.0
12,2011,-11.1,-13.71,-13.97,2.61,2.87,1.06,18.0,17.0
13,2012,21.38,16.83,18.29,4.55,3.09,1.05,5.0,14.0
14,2013,15.27,15.29,19.44,-0.02,-4.17,1.05,8.0,83.0
15,YTD,-2.88,-0.27,-1.63,-2.61,-1.25,-1.25,-1.25,71.0
