,Year,FSCGX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,17.39,24.93,9.69,-7.54,7.7,7.7,7.7,17.0
1,2000,-4.22,-13.18,8.96,8.96,-13.18,1.41,119.0,100.0
2,2001,-1.0,-16.82,0.46,15.82,-1.46,1.48,48.0,75.0
3,2002,-22.92,-19.89,-17.88,-3.03,-5.04,1.45,131.0,92.0
4,2003,41.46,33.11,33.45,8.35,8.01,1.76,123.0,1.0
5,2004,12.82,14.72,21.3,-1.9,-8.48,1.33,1.33,100.0
6,2005,7.44,9.49,9.97,-2.05,-2.54,1.06,51.0,75.0
7,2006,17.03,20.07,12.89,-3.03,4.14,1.02,40.0,13.0
8,2007,23.18,9.04,8.77,14.14,14.41,0.98,104.0,1.0
9,2008,-46.77,-40.71,-37.69,-6.06,-9.08,0.88,92.0,88.0
10,2009,38.91,29.99,26.94,8.93,11.98,0.9,136.0,16.0
11,2010,33.9,11.76,29.99,22.14,3.91,0.94,74.0,12.0
12,2011,-7.69,-5.54,-8.29,-2.15,0.6,0.88,82.0,59.0
13,2012,20.64,15.83,18.96,4.81,1.68,0.84,101.0,31.0
14,2013,32.76,26.68,41.36,6.08,-8.6,0.81,69.0,100.0
15,YTD,0.45,6.66,8.61,-6.21,-8.16,0.78,100.0,96.0
