,Year,VCAIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.58,-2.06,-2.78,1.48,2.2,0.17,9.0,9.0
1,2000,10.94,11.68,11.07,-0.74,-0.12,0.17,14.0,28.0
2,2001,4.43,5.13,4.42,-0.7,0.01,0.17,23.0,58.0
3,2002,9.16,9.6,7.66,-0.44,1.5,0.16,23.0,8.0
4,2003,4.12,5.31,3.27,-1.19,0.85,0.17,0.17,13.0
5,2004,2.89,4.48,2.57,-1.59,0.32,0.15,0.15,33.0
6,2005,1.86,3.51,1.89,-1.66,-0.03,0.16,12.0,34.0
7,2006,4.26,4.84,3.71,-0.58,0.55,0.16,7.0,26.0
8,2007,3.02,3.36,2.5,-0.34,0.52,0.15,11.0,49.0
9,2008,-2.14,-2.47,-3.59,0.34,1.45,0.15,25.0,58.0
10,2009,9.7,12.91,10.27,-3.22,-0.57,0.2,17.0,40.0
11,2010,2.62,2.38,2.34,0.24,0.28,0.2,10.0,45.0
12,2011,10.16,10.7,8.67,-0.54,1.5,0.2,13.0,24.0
13,2012,6.63,6.78,5.51,-0.15,1.12,0.2,9.0,11.0
14,2013,-0.83,-2.55,-1.44,1.72,0.61,0.2,12.0,14.0
15,YTD,7.46,8.5,6.11,-1.04,1.35,1.35,1.35,20.0
