,Year,FSHOX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-12.45,24.93,14.76,-37.38,-27.2,-27.2,-27.2,84.0
1,2000,8.86,-13.18,-14.28,22.04,23.14,2.34,34.0,22.0
2,2001,20.01,-16.82,-1.13,36.84,21.14,2.32,135.0,10.0
3,2002,-8.5,-19.89,-17.74,11.39,9.24,1.44,111.0,17.0
4,2003,44.09,33.11,30.18,10.98,13.91,1.41,133.0,1.0
5,2004,28.53,14.72,12.53,13.81,16.0,1.35,1.35,3.0
6,2005,9.39,9.49,-0.22,-0.1,9.61,1.08,119.0,20.0
7,2006,7.11,20.07,16.06,-12.96,-8.95,1.01,154.0,93.0
8,2007,-13.87,9.04,-6.83,-22.91,-7.05,1.02,54.0,96.0
9,2008,-26.81,-40.71,-39.8,13.9,12.99,0.97,102.0,28.0
10,2009,22.92,29.99,37.84,-7.07,-14.91,1.02,85.0,85.0
11,2010,21.54,11.76,27.35,9.78,-5.81,1.01,82.0,19.0
12,2011,2.89,-5.54,1.58,8.43,1.31,0.98,101.0,1.0
13,2012,38.01,15.83,22.64,22.18,15.37,0.96,81.0,1.0
14,2013,21.25,26.68,37.14,-5.43,-15.89,0.86,47.0,92.0
15,YTD,14.09,6.66,6.5,7.43,7.59,0.81,53.0,1.0
