,Year,FLVAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,7.67,-11.89,-4.99,19.56,12.66,12.66,29.0,4.0
1,2002,-15.52,-22.1,-18.69,6.59,3.18,1.42,15.0,25.0
2,2003,25.94,28.68,28.44,-2.74,-2.49,1.38,1.38,68.0
3,2004,13.41,10.88,12.97,2.53,0.44,1.31,1.31,42.0
4,2005,3.65,4.91,5.95,-1.26,-2.3,1.29,25.0,75.0
5,2006,15.95,15.79,18.15,0.16,-2.2,1.33,34.0,77.0
6,2007,-1.12,5.49,1.42,-6.62,-2.55,1.34,23.0,70.0
7,2008,-36.84,-37.0,-37.09,0.16,0.25,1.38,16.0,54.0
8,2009,25.47,26.46,24.13,-0.99,1.34,1.48,11.0,36.0
9,2010,13.07,15.06,13.66,-1.99,-0.59,1.42,14.0,54.0
10,2011,-5.86,2.11,-0.75,-7.98,-5.12,1.39,18.0,84.0
11,2012,13.28,16.0,14.57,-2.72,-1.29,1.4,16.0,70.0
12,2013,34.93,32.39,31.21,2.54,3.71,1.35,6.0,19.0
13,YTD,8.07,13.98,10.25,-5.9,-2.18,-2.18,-2.18,85.0
