,Year,VWSTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.58,-2.06,0.74,4.64,1.85,0.18,56.0,4.0
1,2000,4.91,11.68,5.87,-6.78,-0.97,0.18,45.0,84.0
2,2001,4.75,5.13,4.77,-0.38,-0.02,0.19,47.0,55.0
3,2002,3.49,9.6,5.39,-6.12,-1.9,0.17,53.0,84.0
4,2003,1.64,5.31,2.44,-3.68,-0.8,0.17,0.17,80.0
5,2004,1.12,4.48,1.19,-3.36,-0.07,0.14,0.14,50.0
6,2005,1.65,3.51,1.21,-1.87,0.44,0.16,30.0,25.0
7,2006,3.26,4.84,2.95,-1.58,0.31,0.16,49.0,32.0
8,2007,4.19,3.36,3.31,0.83,0.89,0.15,51.0,10.0
9,2008,3.74,-2.47,0.86,6.21,2.88,0.15,32.0,15.0
10,2009,3.07,12.91,5.91,-9.84,-2.84,0.2,32.0,94.0
11,2010,0.95,2.38,1.61,-1.43,-0.66,0.2,29.0,77.0
12,2011,1.6,10.7,3.6,-9.1,-2.0,0.2,28.0,82.0
13,2012,0.99,6.78,1.92,-5.79,-0.93,0.2,29.0,80.0
14,2013,0.48,-2.55,-0.07,3.03,0.55,0.2,30.0,32.0
15,YTD,0.72,8.5,1.6,-7.79,-0.89,-0.89,-0.89,77.0
