,Year,NIEQX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,39.49,30.63,40.28,8.86,-0.8,1.13,146.0,42.0
1,2000,-15.13,-15.31,-16.34,0.19,1.21,1.14,1.14,38.0
2,2001,-20.66,-19.73,-21.67,-0.92,1.02,1.02,1.02,40.0
3,2002,-14.53,-14.95,-16.69,0.42,2.16,1.16,1.16,28.0
4,2003,34.34,40.83,33.58,-6.49,0.75,1.17,1.17,39.0
5,2004,17.98,20.91,17.39,-2.93,0.59,1.12,1.12,42.0
6,2005,14.08,16.62,14.72,-2.54,-0.64,1.01,1.01,51.0
7,2006,25.33,26.65,24.77,-1.32,0.57,0.89,74.0,44.0
8,2007,14.47,16.65,12.71,-2.18,1.76,0.9,73.0,31.0
9,2008,-46.96,-45.53,-43.99,-1.43,-2.97,0.94,78.0,79.0
10,2009,31.55,41.45,31.24,-9.9,0.31,1.02,83.0,43.0
11,2010,8.99,11.15,10.24,-2.16,-1.24,1.01,127.0,62.0
12,2011,-13.23,-13.71,-13.97,0.48,0.74,1.08,92.0,39.0
13,2012,18.28,16.83,18.29,1.45,-0.01,1.08,112.0,48.0
14,2013,14.88,15.29,19.44,-0.41,-4.56,1.12,100.0,85.0
15,YTD,-2.17,-0.27,-1.63,-1.9,-0.54,1.17,125.0,56.0
