,Year,PRXCX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.3,-2.06,-4.6,-1.24,1.3,1.3,27.0,13.0
1,2000,12.82,11.68,12.79,1.14,0.04,0.04,41.0,44.0
2,2001,3.88,5.13,3.84,-1.25,0.05,0.54,38.0,42.0
3,2002,8.52,9.6,8.03,-1.08,0.49,0.54,39.0,31.0
4,2003,4.56,5.31,4.27,-0.75,0.3,0.53,29.0,34.0
5,2004,4.26,4.48,4.37,-0.22,-0.11,0.53,0.53,46.0
6,2005,3.5,3.51,3.93,-0.01,-0.43,0.53,36.0,53.0
7,2006,4.83,4.84,4.58,-0.01,0.25,0.53,21.0,32.0
8,2007,2.42,3.36,0.71,-0.94,1.71,0.51,28.0,15.0
9,2008,-6.18,-2.47,-11.05,-3.71,4.87,4.87,18.0,20.0
10,2009,14.84,12.91,17.38,1.93,-2.54,0.52,22.0,58.0
11,2010,2.17,2.38,1.77,-0.21,0.4,0.51,16.0,33.0
12,2011,10.35,10.7,11.74,-0.35,-1.39,0.51,15.0,94.0
13,2012,9.27,6.78,10.42,2.49,-1.15,0.51,15.0,66.0
14,2013,-2.76,-2.55,-3.71,-0.2,0.95,0.5,11.0,20.0
15,YTD,10.59,8.5,11.21,2.09,-0.62,0.5,18.0,57.0
