,Year,PRTNX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,5.29,-0.82,1.8,6.11,3.49,3.49,3.49,30.0
1,2000,13.01,11.63,12.36,1.38,0.65,0.93,253.0,50.0
2,2001,8.24,8.44,7.27,-0.21,0.97,0.94,202.0,42.0
3,2002,16.54,10.26,14.81,6.28,1.73,0.9,237.0,40.0
4,2003,8.02,4.1,7.15,3.91,0.87,0.91,191.0,30.0
5,2004,8.7,4.34,7.48,4.36,1.22,0.9,308.0,12.0
6,2005,2.17,2.43,2.09,-0.25,0.09,0.9,369.0,48.0
7,2006,-0.17,4.33,0.09,-4.5,-0.26,0.9,388.0,61.0
8,2007,11.09,6.97,9.86,4.13,1.23,0.9,480.0,29.0
9,2008,-6.84,5.24,-4.08,-12.09,-2.76,0.9,806.0,86.0
10,2009,18.43,5.93,10.88,12.5,7.55,0.9,915.0,4.0
11,2010,7.33,6.54,5.94,0.79,1.39,0.9,408.0,10.0
12,2011,11.11,7.84,10.93,3.26,0.18,0.9,174.0,68.0
13,2012,8.82,4.21,6.45,4.6,2.37,0.85,129.0,9.0
14,2013,-9.41,-2.02,-7.85,-7.39,-1.56,0.85,41.0,80.0
15,YTD,5.09,5.87,3.23,-0.77,1.86,0.85,33.0,7.0
