,Year,FAGOX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,3.88,21.04,38.87,-17.16,-34.99,1.11,43.0,60.0
1,2000,-18.25,-9.1,-13.05,-9.14,-5.2,1.03,110.0,96.0
2,2001,-15.14,-11.89,-22.3,-3.25,7.17,0.9,101.0,71.0
3,2002,-22.43,-22.1,-27.64,-0.33,5.21,0.86,55.0,49.0
4,2003,29.25,28.68,28.66,0.57,0.59,1.12,1.12,22.0
5,2004,6.95,10.88,7.81,-3.93,-0.85,1.26,1.26,85.0
6,2005,8.44,4.91,6.71,3.53,1.72,1.2,110.0,32.0
7,2006,4.89,15.79,7.05,-10.9,-2.16,1.13,121.0,73.0
8,2007,22.86,5.49,13.35,17.37,9.51,1.27,97.0,9.0
9,2008,-55.38,-37.0,-40.67,-18.38,-14.71,1.26,126.0,99.0
10,2009,46.88,26.46,35.68,20.41,11.2,1.02,114.0,11.0
11,2010,23.41,15.06,15.53,8.35,7.88,1.09,35.0,5.0
12,2011,1.74,2.11,-2.46,-0.37,4.2,1.25,31.0,16.0
13,2012,18.73,16.0,15.34,2.73,3.39,1.48,34.0,15.0
14,2013,36.29,32.39,33.92,3.9,2.37,1.43,17.0,25.0
15,YTD,12.02,13.98,10.79,-1.96,1.23,1.23,1.23,36.0
