,Year,FDEQX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,22.41,21.04,20.16,1.37,2.25,0.62,113.0,31.0
1,2000,-3.48,-9.1,-6.31,5.62,2.82,0.79,118.0,28.0
2,2001,-14.21,-11.89,-13.5,-2.33,-0.71,0.84,101.0,65.0
3,2002,-18.56,-22.1,-22.25,3.54,3.69,1.0,56.0,16.0
4,2003,27.18,28.68,27.05,-1.5,0.14,0.9,0.9,49.0
5,2004,12.02,10.88,10.02,1.14,2.0,0.88,0.88,22.0
6,2005,10.27,4.91,5.88,5.36,4.39,0.87,80.0,8.0
7,2006,14.58,15.79,14.17,-1.21,0.41,0.91,98.0,46.0
8,2007,10.84,5.49,6.16,5.35,4.68,0.9,152.0,14.0
9,2008,-40.1,-37.0,-37.79,-3.11,-2.31,0.87,186.0,74.0
10,2009,21.96,26.46,28.17,-4.51,-6.21,0.83,200.0,82.0
11,2010,8.25,15.06,14.01,-6.81,-5.75,0.68,146.0,95.0
12,2011,-3.13,2.11,-1.27,-5.24,-1.85,0.58,153.0,71.0
13,2012,15.85,16.0,14.96,-0.15,0.89,0.52,147.0,38.0
14,2013,36.64,32.39,31.5,4.26,5.14,-0.01,156.0,12.0
15,YTD,12.19,13.98,11.28,-1.79,0.91,0.91,0.91,46.0
