,Year,OIEAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,33.42,30.63,40.28,2.79,-6.86,-6.86,-6.86,54.0
1,2000,-17.63,-15.31,-16.34,-2.31,-1.29,0.86,14.0,58.0
2,2001,-21.97,-19.73,-21.67,-2.23,-0.29,0.83,7.0,54.0
3,2002,-16.27,-14.95,-16.69,-1.32,0.42,0.87,14.0,42.0
4,2003,42.44,40.83,33.58,1.62,8.86,0.84,12.0,5.0
5,2004,21.65,20.91,17.39,0.75,4.27,0.8,13.0,8.0
6,2005,14.86,16.62,14.72,-1.76,0.14,0.81,14.0,40.0
7,2006,26.64,26.65,24.77,-0.02,1.87,0.82,12.0,27.0
8,2007,13.98,16.65,12.71,-2.67,1.27,0.82,15.0,35.0
9,2008,-43.19,-45.53,-43.99,2.33,0.8,0.82,18.0,43.0
10,2009,31.06,41.45,31.24,-10.39,-0.18,0.82,37.0,46.0
11,2010,4.84,11.15,10.24,-6.31,-5.39,0.82,39.0,91.0
12,2011,-15.43,-13.71,-13.97,-1.72,-1.46,0.82,40.0,72.0
13,2012,19.7,16.83,18.29,2.87,1.41,0.82,19.0,26.0
14,2013,20.71,15.29,19.44,5.42,1.27,0.53,51.0,38.0
15,YTD,-1.43,-0.27,-1.63,-1.16,0.21,0.21,0.21,43.0
