,Year,OEQAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,18.34,21.04,38.87,-2.7,-20.54,0.87,34.0,61.0
1,2000,-5.62,-9.1,-13.05,3.49,7.43,0.87,61.0,35.0
2,2001,-10.43,-11.89,-22.3,1.45,11.87,0.9,116.0,23.0
3,2002,-17.8,-22.1,-27.64,4.3,9.84,0.96,95.0,12.0
4,2003,26.26,28.68,28.66,-2.42,-2.4,0.9,0.9,60.0
5,2004,10.73,10.88,7.81,-0.15,2.92,0.89,0.89,36.0
6,2005,8.16,4.91,6.71,3.25,1.45,0.89,75.0,34.0
7,2006,10.34,15.79,7.05,-5.45,3.29,0.87,85.0,20.0
8,2007,10.73,5.49,13.35,5.24,-2.62,0.86,132.0,65.0
9,2008,-43.83,-37.0,-40.67,-6.83,-3.16,0.94,111.0,76.0
10,2009,38.79,26.46,35.68,12.32,3.1,1.03,79.0,31.0
11,2010,12.01,15.06,15.53,-3.05,-3.52,0.99,81.0,79.0
12,2011,-2.91,2.11,-2.46,-5.02,-0.44,0.95,50.0,58.0
13,2012,13.6,16.0,15.34,-2.4,-1.74,0.97,58.0,67.0
14,2013,29.89,32.39,33.92,-2.5,-4.03,0.98,114.0,82.0
15,YTD,12.65,13.98,10.79,-1.32,1.86,1.86,1.86,30.0
