,Year,PNIGX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,0.83,-0.82,-1.35,1.65,2.18,2.18,191.0,65.0
1,2000,10.24,11.63,10.86,-1.38,-0.61,0.6,131.0,5.0
2,2001,8.76,8.44,6.81,0.32,1.95,1.33,159.0,7.0
3,2002,9.06,10.26,9.23,-1.2,-0.17,0.6,183.0,5.0
4,2003,1.94,4.1,1.9,-2.17,0.04,0.6,143.0,67.0
5,2004,2.66,4.34,3.01,-1.68,-0.36,0.6,0.6,13.0
6,2005,1.5,2.43,1.91,-0.93,-0.41,0.6,194.0,46.0
7,2006,4.11,4.33,3.47,-0.22,0.65,0.6,92.0,42.0
8,2007,7.22,6.97,6.09,0.25,1.13,0.6,57.0,17.0
9,2008,5.5,5.24,4.76,0.26,0.74,0.6,459.0,56.0
10,2009,3.93,5.93,4.74,-2.0,-0.81,0.6,646.0,50.0
11,2010,6.27,6.54,5.66,-0.27,0.62,0.62,974.0,26.0
12,2011,6.69,7.84,6.7,-1.15,-0.0,0.62,794.0,49.0
13,2012,2.69,4.21,2.8,-1.52,-0.1,0.62,790.0,43.0
14,2013,-2.19,-2.02,-2.72,-0.17,0.53,0.62,1532.0,31.0
15,YTD,5.42,5.87,4.77,-0.45,0.65,0.62,948.0,24.0
