,Year,VMCIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,15.52,21.04,20.92,-5.52,-5.4,0.12,38.0,49.0
1,2000,18.39,-9.1,6.36,27.49,12.03,0.12,51.0,16.0
2,2001,-0.37,-11.89,-3.12,11.52,2.75,0.1,24.0,35.0
3,2002,-14.45,-22.1,-16.55,7.65,2.09,0.1,20.0,39.0
4,2003,34.33,28.68,36.28,5.64,-1.95,0.1,0.1,51.0
5,2004,20.45,10.88,16.3,9.57,4.15,0.08,0.08,18.0
6,2005,14.09,4.91,9.25,9.18,4.84,0.08,18.0,11.0
7,2006,13.78,15.79,14.03,-2.01,-0.25,0.08,18.0,44.0
8,2007,6.22,5.49,4.85,0.72,1.36,0.07,19.0,44.0
9,2008,-41.76,-37.0,-39.18,-4.76,-2.58,0.07,24.0,68.0
10,2009,40.51,26.46,37.39,14.05,3.13,0.08,21.0,24.0
11,2010,25.67,15.06,22.52,10.6,3.15,0.08,16.0,26.0
12,2011,-1.96,2.11,-3.81,-4.07,1.86,0.08,22.0,32.0
13,2012,16.01,16.0,16.15,0.0,-0.14,0.08,17.0,55.0
14,2013,35.17,32.39,34.1,2.78,1.07,0.08,32.0,40.0
15,YTD,13.48,13.98,7.43,-0.49,6.05,6.05,6.05,5.0
