,Year,FPXTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.16,-2.06,-4.22,-0.1,2.07,0.51,28.0,14.0
1,2000,10.99,11.68,10.33,-0.7,0.66,0.44,26.0,34.0
2,2001,4.97,5.13,4.6,-0.15,0.37,0.45,22.0,29.0
3,2002,9.14,9.6,8.48,-0.46,0.66,0.49,9.0,21.0
4,2003,5.11,5.31,4.82,-0.2,0.29,0.5,0.5,28.0
5,2004,4.28,4.48,3.43,-0.2,0.85,0.49,0.49,18.0
6,2005,2.7,3.51,3.05,-0.82,-0.35,0.45,26.0,55.0
7,2006,4.04,4.84,4.4,-0.8,-0.36,0.42,19.0,56.0
8,2007,3.92,3.36,1.67,0.56,2.25,0.46,19.0,10.0
9,2008,-0.77,-2.47,-7.76,1.71,6.99,0.46,17.0,13.0
10,2009,9.7,12.91,16.61,-3.22,-6.91,0.51,8.0,88.0
11,2010,2.02,2.38,1.48,-0.36,0.53,0.5,19.0,29.0
12,2011,9.77,10.7,9.84,-0.93,-0.06,0.5,12.0,47.0
13,2012,7.12,6.78,7.47,0.34,-0.35,0.48,16.0,61.0
14,2013,-2.5,-2.55,-4.62,0.06,2.12,0.49,9.0,16.0
15,YTD,8.71,8.5,9.46,0.21,-0.75,-0.75,-0.75,63.0
