,Year,OTCFX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,14.66,21.04,64.77,-6.38,-50.11,0.96,42.0,91.0
1,2000,16.49,-9.1,-3.85,25.6,20.34,0.94,33.0,9.0
2,2001,6.81,-11.89,-8.91,18.7,15.73,0.98,17.0,13.0
3,2002,-14.21,-22.1,-27.88,7.9,13.67,0.96,15.0,4.0
4,2003,32.35,28.68,45.54,3.66,-13.19,0.96,0.96,93.0
5,2004,18.77,10.88,12.41,7.89,6.36,0.94,0.94,18.0
6,2005,8.44,4.91,6.02,3.53,2.42,0.92,20.0,30.0
7,2006,12.78,15.79,10.81,-3.02,1.96,0.91,20.0,33.0
8,2007,-1.75,5.49,7.59,-7.24,-9.34,0.89,22.0,87.0
9,2008,-33.35,-37.0,-41.55,3.65,8.2,0.93,24.0,5.0
10,2009,38.46,26.46,35.46,11.99,3.0,0.95,28.0,19.0
11,2010,32.53,15.06,26.98,17.47,5.55,0.92,20.0,6.0
12,2011,-0.09,2.11,-3.55,-2.2,3.46,0.92,24.0,16.0
13,2012,18.01,16.0,13.15,2.0,4.86,0.92,21.0,9.0
14,2013,37.65,32.39,40.91,5.26,-3.26,0.91,22.0,69.0
15,YTD,4.24,13.98,0.47,-9.73,3.77,3.77,3.77,17.0
