,Year,FBTAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,-24.82,-16.82,-11.26,-8.0,-13.56,-13.56,37.0,90.0
1,2002,-40.16,-19.89,-28.13,-20.28,-12.03,-12.03,116.0,86.0
2,2003,33.78,33.11,32.51,0.68,1.27,1.47,71.0,36.0
3,2004,11.78,14.72,9.84,-2.94,1.94,1.48,1.48,30.0
4,2005,7.38,9.49,9.64,-2.11,-2.26,1.43,30.0,74.0
5,2006,3.23,20.07,4.27,-16.84,-1.04,1.37,62.0,57.0
6,2007,2.53,9.04,9.27,-6.51,-6.74,1.4,120.0,84.0
7,2008,-12.09,-40.71,-23.43,28.62,11.34,1.37,132.0,10.0
8,2009,10.19,29.99,22.48,-19.79,-12.28,1.4,73.0,90.0
9,2010,10.72,11.76,8.38,-1.04,2.34,1.38,130.0,25.0
10,2011,18.44,-5.54,7.66,23.98,10.77,1.34,99.0,3.0
11,2012,37.08,15.83,21.55,21.26,15.54,1.27,82.0,3.0
12,2013,63.53,26.68,48.17,36.86,15.36,1.14,22.0,4.0
13,YTD,31.86,6.66,26.63,25.21,5.23,1.08,50.0,16.0
