,Year,FSEAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,91.53,30.63,73.61,60.9,17.92,17.92,93.0,16.0
1,2000,-30.43,-15.31,-25.36,-15.12,-5.08,1.35,88.0,68.0
2,2001,-3.68,-19.73,-2.63,16.06,-1.05,1.52,91.0,34.0
3,2002,-11.35,-14.95,-8.76,3.6,-2.59,1.5,110.0,36.0
4,2003,52.34,40.83,53.64,11.51,-1.3,1.32,1.32,42.0
5,2004,13.59,20.91,13.21,-7.31,0.39,1.2,1.2,60.0
6,2005,33.56,16.62,21.3,16.94,12.26,1.09,109.0,14.0
7,2006,37.19,26.65,45.36,10.53,-8.17,1.04,100.0,55.0
8,2007,55.39,16.65,47.53,38.74,7.87,0.98,72.0,30.0
9,2008,-51.89,-45.53,-53.5,-6.36,1.61,1.04,147.0,44.0
10,2009,39.2,41.45,71.16,-2.25,-31.96,0.99,220.0,98.0
11,2010,22.78,11.15,18.77,11.63,4.01,0.74,105.0,28.0
12,2011,-16.17,-13.71,-20.95,-2.46,4.78,0.78,115.0,27.0
13,2012,20.9,16.83,23.62,4.07,-2.72,0.91,94.0,72.0
14,2013,3.8,15.29,2.21,-11.48,1.6,1.05,97.0,37.0
15,YTD,7.9,-0.27,8.16,8.17,-0.27,-0.27,-0.27,33.0
