,Year,VIGRX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,28.76,21.04,38.87,7.72,-10.12,0.22,33.0,64.0
1,2000,-22.21,-9.1,-13.05,-13.1,-9.16,0.22,33.0,83.0
2,2001,-12.93,-11.89,-22.3,-1.04,9.37,0.22,31.0,14.0
3,2002,-23.68,-22.1,-27.64,-1.58,3.97,0.23,23.0,25.0
4,2003,25.92,28.68,28.66,-2.76,-2.74,0.23,0.23,60.0
5,2004,7.2,10.88,7.81,-3.68,-0.61,0.22,0.22,54.0
6,2005,5.09,4.91,6.71,0.18,-1.63,0.22,23.0,61.0
7,2006,9.01,15.79,7.05,-6.78,1.96,0.22,28.0,32.0
8,2007,12.56,5.49,13.35,7.07,-0.79,0.22,23.0,53.0
9,2008,-38.32,-37.0,-40.67,-1.32,2.35,0.23,27.0,33.0
10,2009,36.29,26.46,35.68,9.83,0.61,0.28,29.0,40.0
11,2010,16.96,15.06,15.53,1.89,1.43,0.26,26.0,35.0
12,2011,1.71,2.11,-2.46,-0.4,4.17,0.24,23.0,16.0
13,2012,16.89,16.0,15.34,0.88,1.55,0.24,21.0,31.0
14,2013,32.16,32.39,33.92,-0.22,-1.76,0.24,32.0,65.0
15,YTD,14.6,13.98,10.79,0.63,3.82,3.82,3.82,11.0
