,Year,FRCOX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.43,-2.06,-4.34,-2.37,-0.09,-0.09,13.0,54.0
1,2000,11.59,11.68,11.02,-0.1,0.57,0.7,29.0,27.0
2,2001,5.08,5.13,4.32,-0.05,0.76,0.71,50.0,16.0
3,2002,8.08,9.6,8.53,-1.52,-0.45,0.7,21.0,66.0
4,2003,5.19,5.31,4.79,-0.12,0.41,0.69,26.0,28.0
5,2004,4.82,4.48,3.84,0.34,0.98,0.69,0.69,16.0
6,2005,4.37,3.51,2.96,0.86,1.41,0.69,30.0,3.0
7,2006,4.86,4.84,4.41,0.01,0.44,0.69,23.0,21.0
8,2007,2.6,3.36,1.65,-0.76,0.95,0.68,15.0,21.0
9,2008,-8.04,-2.47,-10.07,-5.57,2.03,0.67,23.0,54.0
10,2009,16.72,12.91,19.1,3.81,-2.38,0.66,11.0,48.0
11,2010,0.01,2.38,1.18,-2.37,-1.17,0.66,10.0,81.0
12,2011,12.07,10.7,10.2,1.37,1.86,0.65,22.0,11.0
13,2012,8.43,6.78,7.57,1.65,0.86,0.65,8.0,17.0
14,2013,-5.32,-2.55,-5.66,-2.77,0.33,0.65,9.0,52.0
15,YTD,10.24,8.5,9.57,1.74,0.67,0.64,8.0,27.0
