,Year,FSPHX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.88,24.93,18.58,-27.81,-21.46,-21.46,-21.46,87.0
1,2000,36.65,-13.18,56.75,49.83,-20.09,1.05,70.0,76.0
2,2001,-15.01,-16.82,-11.26,1.81,-3.75,0.97,85.0,61.0
3,2002,-18.05,-19.89,-28.13,1.84,10.09,0.96,90.0,12.0
4,2003,15.91,33.11,32.51,-17.2,-16.6,0.99,139.0,94.0
5,2004,8.66,14.72,9.84,-6.06,-1.19,0.99,0.99,52.0
6,2005,16.86,9.49,9.64,7.37,7.22,0.92,32.0,9.0
7,2006,5.11,20.07,4.27,-14.96,0.84,0.87,120.0,41.0
8,2007,12.45,9.04,9.27,3.42,3.19,0.87,91.0,32.0
9,2008,-32.44,-40.71,-23.43,8.27,-9.01,0.84,120.0,93.0
10,2009,32.11,29.99,22.48,2.12,9.64,0.86,173.0,8.0
11,2010,16.96,11.76,8.38,5.2,8.59,0.87,116.0,8.0
12,2011,7.82,-5.54,7.66,13.36,0.16,0.82,99.0,45.0
13,2012,21.39,15.83,21.55,5.56,-0.16,0.8,130.0,33.0
14,2013,56.27,26.68,48.17,29.59,8.1,0.78,95.0,13.0
15,YTD,32.42,6.66,26.63,25.76,5.78,0.76,99.0,4.0
