,Year,FSDPX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,16.48,24.93,30.64,-8.45,-14.16,-14.16,-14.16,91.0
1,2000,-5.43,-13.18,29.49,7.75,-34.92,1.89,257.0,96.0
2,2001,7.77,-16.82,-10.44,24.59,18.21,1.78,141.0,7.0
3,2002,1.03,-19.89,-0.8,20.92,1.84,1.49,230.0,34.0
4,2003,50.32,33.11,32.76,17.21,17.56,1.42,226.0,10.0
5,2004,13.04,14.72,27.47,-1.68,-14.43,1.17,1.17,95.0
6,2005,14.36,9.49,38.2,4.87,-23.84,1.02,89.0,94.0
7,2006,19.43,20.07,10.53,-0.63,8.9,1.01,124.0,27.0
8,2007,29.21,9.04,37.12,20.17,-7.91,0.96,185.0,84.0
9,2008,-47.56,-40.71,-48.79,-6.85,1.24,0.89,77.0,48.0
10,2009,78.68,29.99,48.48,48.69,30.2,0.9,117.0,1.0
11,2010,28.09,11.76,18.06,16.33,10.03,0.94,104.0,11.0
12,2011,-8.2,-5.54,-13.97,-2.66,5.77,0.87,87.0,14.0
13,2012,20.17,15.83,4.34,4.34,15.83,0.84,94.0,8.0
14,2013,21.9,26.68,8.75,-4.77,13.15,0.84,61.0,14.0
15,YTD,0.58,6.66,-10.45,-6.08,11.03,0.82,53.0,9.0
