,Year,FHIGX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.48,-2.06,-4.7,-0.43,2.22,0.49,28.0,5.0
1,2000,12.3,11.68,11.24,0.61,1.05,0.42,4.0,21.0
2,2001,5.0,5.13,3.92,-0.12,1.09,0.43,27.0,11.0
3,2002,10.48,9.6,8.45,0.87,2.03,0.46,23.0,6.0
4,2003,5.79,5.31,4.9,0.48,0.9,0.47,0.47,17.0
5,2004,4.73,4.48,3.77,0.25,0.96,0.47,0.47,16.0
6,2005,3.66,3.51,3.1,0.14,0.56,0.45,25.0,25.0
7,2006,4.8,4.84,4.57,-0.04,0.23,0.45,25.0,31.0
8,2007,3.1,3.36,1.27,-0.26,1.84,0.44,22.0,9.0
9,2008,-4.61,-2.47,-9.45,-2.14,4.83,0.46,15.0,22.0
10,2009,13.14,12.91,17.3,0.22,-4.16,0.48,10.0,78.0
11,2010,2.58,2.38,1.65,0.2,0.92,0.46,10.0,23.0
12,2011,10.65,10.7,10.64,-0.05,0.01,0.46,11.0,50.0
13,2012,7.91,6.78,8.87,1.13,-0.96,0.46,10.0,68.0
14,2013,-2.94,-2.55,-4.59,-0.39,1.65,0.46,10.0,7.0
15,YTD,9.8,8.5,9.8,1.3,0.01,0.01,0.01,51.0
