,Year,FTQGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,34.8,21.04,38.87,13.76,-4.08,0.86,128.0,8.0
1,2000,-6.1,-9.1,-13.05,3.0,6.94,1.02,94.0,37.0
2,2001,-13.59,-11.89,-22.3,-1.71,8.71,1.02,309.0,61.0
3,2002,-39.29,-22.1,-27.64,-17.19,-11.64,1.2,268.0,99.0
4,2003,23.12,28.68,28.66,-5.56,-5.54,1.03,1.03,83.0
5,2004,15.52,10.88,7.81,4.64,7.71,1.02,1.02,6.0
6,2005,18.22,4.91,6.71,13.3,11.5,0.98,158.0,1.0
7,2006,5.13,15.79,7.05,-10.67,-1.93,0.98,202.0,99.0
8,2007,17.03,5.49,13.35,11.54,3.68,0.99,343.0,3.0
9,2008,-33.03,-37.0,-40.67,3.97,7.64,0.99,491.0,14.0
10,2009,25.2,26.46,35.68,-1.26,-10.48,0.99,363.0,87.0
11,2010,24.09,15.06,15.53,9.03,8.56,1.0,275.0,4.0
12,2011,0.57,2.11,-2.46,-1.54,3.03,0.92,277.0,25.0
13,2012,16.54,16.0,15.34,0.53,1.2,0.92,279.0,34.0
14,2013,38.09,32.39,33.92,5.7,4.17,0.89,200.0,15.0
15,YTD,6.33,13.98,10.79,-7.64,-4.46,-4.46,-4.46,90.0
