,Year,PRNYX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.75,-2.06,-4.71,-2.69,-0.04,-0.04,-0.04,51.0
1,2000,12.85,11.68,11.93,1.16,0.91,0.91,78.0,21.0
2,2001,4.1,5.13,3.83,-1.02,0.27,0.56,36.0,25.0
3,2002,9.67,9.6,8.91,0.07,0.76,0.54,34.0,27.0
4,2003,4.94,5.31,4.96,-0.37,-0.01,0.54,18.0,41.0
5,2004,3.85,4.48,3.69,-0.63,0.16,0.55,0.55,37.0
6,2005,3.4,3.51,3.25,-0.11,0.15,0.55,29.0,27.0
7,2006,4.73,4.84,4.77,-0.11,-0.04,0.55,29.0,34.0
8,2007,2.56,3.36,1.5,-0.8,1.06,0.53,27.0,26.0
9,2008,-5.54,-2.47,-9.21,-3.07,3.67,0.53,28.0,40.0
10,2009,14.51,12.91,18.31,1.59,-3.81,0.54,21.0,61.0
11,2010,1.63,2.38,1.7,-0.75,-0.07,0.52,10.0,56.0
12,2011,10.33,10.7,9.85,-0.37,0.49,0.51,15.0,31.0
13,2012,8.12,6.78,8.18,1.34,-0.06,0.51,13.0,42.0
14,2013,-3.81,-2.55,-5.32,-1.26,1.52,0.49,11.0,19.0
15,YTD,9.46,8.5,9.94,0.95,-0.48,0.5,10.0,50.0
