,Year,VCVLX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2002,-28.07,-22.1,-22.25,-5.97,-5.82,0.54,40.0,98.0
1,2003,41.74,28.68,27.05,13.05,14.69,0.53,40.0,3.0
2,2004,15.38,10.88,10.02,4.49,5.35,0.53,0.53,21.0
3,2005,4.21,4.91,5.88,-0.7,-1.67,0.59,46.0,69.0
4,2006,18.9,15.79,14.17,3.1,4.73,0.6,47.0,41.0
5,2007,-7.65,5.49,6.16,-13.14,-13.81,0.53,56.0,95.0
6,2008,-48.84,-37.0,-37.79,-11.84,-11.05,0.45,186.0,97.0
7,2009,81.46,26.46,28.17,55.0,53.29,0.45,300.0,1.0
8,2010,20.2,15.06,14.01,5.14,6.2,0.44,211.0,6.0
9,2011,-13.98,2.11,-1.27,-16.09,-12.71,0.58,149.0,98.0
10,2012,22.33,16.0,14.96,6.32,7.37,0.47,123.0,3.0
11,2013,43.86,32.39,31.5,11.47,12.36,0.41,132.0,1.0
12,YTD,5.83,13.98,11.28,-8.14,-5.45,0.47,90.0,93.0
