,Year,FRNRX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,33.52,24.93,30.64,8.59,2.88,2.88,74.0,46.0
1,2000,34.82,-13.18,29.49,48.0,5.32,0.98,82.0,37.0
2,2001,-16.7,-16.82,-10.44,0.13,-6.25,1.01,54.0,79.0
3,2002,-5.24,-19.89,-0.8,14.64,-4.44,1.21,100.0,50.0
4,2003,24.98,33.11,32.76,-8.13,-7.79,1.34,45.0,69.0
5,2004,31.23,14.72,27.47,16.51,3.76,1.27,1.27,28.0
6,2005,37.5,9.49,38.2,28.01,-0.7,1.08,30.0,60.0
7,2006,14.24,20.07,10.53,-5.83,3.7,1.02,56.0,44.0
8,2007,38.87,9.04,37.12,29.84,1.76,1.03,52.0,47.0
9,2008,-51.18,-40.71,-48.79,-10.47,-2.39,0.97,37.0,65.0
10,2009,62.34,29.99,48.48,32.35,13.86,1.09,47.0,22.0
11,2010,30.12,11.76,18.06,18.36,12.06,1.04,31.0,5.0
12,2011,-11.71,-5.54,-13.97,-6.17,2.26,1.0,24.0,48.0
13,2012,-4.89,15.83,4.34,-20.71,-9.22,1.03,27.0,90.0
14,2013,9.55,26.68,8.75,-17.13,0.8,1.08,20.0,52.0
15,YTD,-17.16,6.66,-10.45,-23.82,-6.72,1.07,21.0,81.0
