,Year,FIDSX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.56,24.93,-1.79,-23.38,3.35,3.35,3.35,32.0
1,2000,28.5,-13.18,27.74,41.68,0.76,1.17,57.0,43.0
2,2001,-9.12,-16.82,-2.05,7.7,-7.07,1.06,108.0,82.0
3,2002,-11.4,-19.89,-10.28,8.49,-1.12,1.03,127.0,41.0
4,2003,30.57,33.11,33.56,-2.53,-2.99,1.09,76.0,53.0
5,2004,11.18,14.72,14.02,-3.54,-2.84,1.07,1.07,72.0
6,2005,7.55,9.49,6.74,-1.94,0.81,0.94,101.0,45.0
7,2006,16.11,20.07,16.9,-3.96,-0.79,0.95,47.0,62.0
8,2007,-13.59,9.04,-11.64,-22.63,-1.96,0.92,55.0,61.0
9,2008,-49.89,-40.71,-43.91,-9.18,-5.98,0.89,53.0,68.0
10,2009,25.88,29.99,25.26,-4.11,0.62,0.93,129.0,47.0
11,2010,6.48,11.76,11.13,-5.29,-4.66,0.92,301.0,74.0
12,2011,-20.35,-5.54,-15.12,-14.81,-5.23,0.88,242.0,76.0
13,2012,27.81,15.83,24.77,11.98,3.04,0.84,384.0,32.0
14,2013,33.67,26.68,34.57,6.99,-0.9,0.78,271.0,46.0
15,YTD,10.55,6.66,4.86,3.89,5.69,0.81,197.0,20.0
