,Year,PSDIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,5.81,11.68,5.87,-5.88,-0.07,0.39,171.0,46.0
1,2001,4.98,5.13,4.77,-0.15,0.21,0.4,208.0,44.0
2,2002,2.97,9.6,5.39,-6.63,-2.42,-2.42,107.0,89.0
3,2003,2.54,5.31,2.44,-2.77,0.1,0.39,152.0,43.0
4,2004,0.85,4.48,1.19,-3.63,-0.34,0.39,226.0,67.0
5,2005,1.94,3.51,1.21,-1.57,0.73,0.37,104.0,19.0
6,2006,4.34,4.84,2.95,-0.5,1.39,0.35,83.0,1.0
7,2007,1.23,3.36,3.31,-2.13,-2.08,0.35,71.0,96.0
8,2008,-13.73,-2.47,0.86,-11.25,-14.59,0.35,35.0,96.0
9,2009,8.34,12.91,5.91,-4.58,2.43,0.35,155.0,11.0
10,2010,1.9,2.38,1.61,-0.48,0.29,0.34,73.0,34.0
11,2011,0.65,10.7,3.6,-10.05,-2.95,0.33,56.0,93.0
12,2012,1.51,6.78,1.92,-5.27,-0.41,0.33,29.0,58.0
13,2013,0.57,-2.55,-0.07,3.12,0.64,0.33,51.0,20.0
14,YTD,1.31,8.5,1.6,-7.19,-0.3,0.33,40.0,52.0
