,Year,PRULX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-8.75,-0.82,-8.24,-7.93,-0.51,-0.51,74.0,64.0
1,2000,19.11,11.63,17.06,7.48,2.05,0.64,22.0,40.0
2,2001,3.39,8.44,4.1,-5.05,-0.71,0.63,31.0,70.0
3,2002,15.13,10.26,13.86,4.87,1.27,0.66,49.0,58.0
4,2003,2.1,4.1,1.75,-2.01,0.35,0.68,66.0,55.0
5,2004,5.79,4.34,7.39,1.45,-1.6,0.67,0.67,80.0
6,2005,5.41,2.43,6.06,2.99,-0.64,0.67,55.0,55.0
7,2006,1.07,4.33,0.15,-3.27,0.92,0.63,26.0,50.0
8,2007,9.98,6.97,9.76,3.01,0.22,0.55,34.0,31.0
9,2008,23.26,5.24,27.67,18.02,-4.4,0.53,65.0,52.0
10,2009,-10.9,5.93,-17.51,-16.83,6.61,0.58,84.0,35.0
11,2010,8.91,6.54,11.65,2.37,-2.74,0.57,33.0,93.0
12,2011,28.36,7.84,32.9,20.52,-4.53,0.55,43.0,64.0
13,2012,3.18,4.21,3.87,-1.03,-0.69,0.55,57.0,80.0
14,2013,-13.22,-2.02,-13.34,-11.2,0.12,0.52,44.0,74.0
15,YTD,20.79,5.87,19.07,14.92,1.72,0.52,23.0,55.0
