,Year,FSCSX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,93.12,24.93,129.22,68.19,-36.1,-36.1,-36.1,74.0
1,2000,-20.19,-13.18,-31.36,-7.01,11.16,1.11,59.0,19.0
2,2001,-6.99,-16.82,-36.89,9.84,29.91,0.99,392.0,4.0
3,2002,-23.39,-19.89,-42.86,-3.5,19.47,1.05,325.0,2.0
4,2003,35.02,33.11,55.77,1.92,-20.74,1.05,198.0,94.0
5,2004,7.63,14.72,4.24,-7.09,3.39,1.06,1.06,31.0
6,2005,0.04,9.49,5.76,-9.45,-5.72,0.92,94.0,87.0
7,2006,24.92,20.07,7.08,4.85,17.84,0.91,59.0,1.0
8,2007,23.88,9.04,16.12,14.85,7.76,0.91,139.0,14.0
9,2008,-42.14,-40.71,-45.33,-1.43,3.19,0.86,38.0,21.0
10,2009,61.51,29.99,61.99,31.52,-0.48,0.87,49.0,40.0
11,2010,18.94,11.76,20.0,7.18,-1.06,0.89,56.0,51.0
12,2011,2.18,-5.54,-7.62,7.72,9.79,0.83,189.0,1.0
13,2012,18.06,15.83,13.08,2.23,4.97,0.81,238.0,24.0
14,2013,51.12,26.68,35.45,24.44,15.67,0.8,96.0,9.0
15,YTD,7.36,6.66,13.32,0.7,-5.96,0.78,87.0,81.0
