,Year,FSDCX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,122.5,24.93,129.22,97.56,-6.72,-6.72,-6.72,8.0
1,2000,-28.77,-13.18,-31.36,-15.6,2.58,1.11,112.0,24.0
2,2001,-36.13,-16.82,-36.89,-19.3,0.77,0.98,368.0,59.0
3,2002,-47.78,-19.89,-42.86,-27.89,-4.92,1.22,198.0,86.0
4,2003,68.09,33.11,55.77,34.98,12.32,1.58,111.0,13.0
5,2004,16.52,14.72,4.24,1.8,12.27,1.23,1.23,62.0
6,2005,3.52,9.49,5.76,-5.97,-2.24,0.89,226.0,57.0
7,2006,2.25,20.07,7.08,-17.82,-4.83,0.94,167.0,94.0
8,2007,9.78,9.04,16.12,0.74,-6.35,1.0,122.0,41.0
9,2008,-48.49,-40.71,-45.33,-7.78,-3.16,0.93,39.0,50.0
10,2009,80.7,29.99,61.99,50.71,18.71,0.94,120.0,1.0
11,2010,27.7,11.76,20.0,15.93,7.7,0.95,143.0,18.0
12,2011,-16.68,-5.54,-7.62,-11.14,-9.07,0.9,85.0,83.0
13,2012,5.97,15.83,13.08,-9.86,-7.12,0.89,91.0,81.0
14,2013,28.16,26.68,35.45,1.48,-7.29,0.89,54.0,71.0
15,YTD,13.51,6.66,13.32,6.85,0.19,0.9,65.0,45.0
