,Year,FGMNX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.25,-0.82,-1.35,2.07,2.6,2.6,73.0,5.0
1,2000,10.74,11.63,10.86,-0.89,-0.12,0.63,75.0,56.0
2,2001,7.24,8.44,6.81,-1.2,0.44,0.62,120.0,31.0
3,2002,8.67,10.26,9.23,-1.59,-0.56,0.6,327.0,58.0
4,2003,2.2,4.1,1.9,-1.91,0.3,0.57,262.0,29.0
5,2004,4.2,4.34,3.01,-0.14,1.19,0.6,0.6,8.0
6,2005,2.68,2.43,1.91,0.25,0.77,0.57,160.0,12.0
7,2006,4.15,4.33,3.47,-0.18,0.69,0.45,183.0,19.0
8,2007,6.73,6.97,6.09,-0.23,0.65,0.45,165.0,32.0
9,2008,7.12,5.24,4.76,1.88,2.36,0.45,227.0,38.0
10,2009,6.92,5.93,4.74,0.99,2.17,0.45,464.0,27.0
11,2010,7.0,6.54,5.66,0.46,1.34,0.45,540.0,17.0
12,2011,7.91,7.84,6.7,0.07,1.22,0.45,367.0,16.0
13,2012,2.97,4.21,2.8,-1.25,0.17,0.45,263.0,35.0
14,2013,-2.17,-2.02,-2.72,-0.15,0.55,0.45,363.0,29.0
15,YTD,6.28,5.87,4.77,0.41,1.51,0.45,409.0,4.0
