,Year,CMBFX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.69,-2.06,-2.66,-0.63,-0.03,-0.03,28.0,59.0
1,2000,10.26,11.68,9.62,-1.42,0.64,0.58,22.0,30.0
2,2001,4.55,5.13,4.37,-0.58,0.18,0.57,14.0,35.0
3,2002,9.25,9.6,8.12,-0.35,1.14,0.58,21.0,14.0
4,2003,5.16,5.31,4.03,-0.15,1.13,0.68,10.0,13.0
5,2004,4.03,4.48,2.88,-0.44,1.16,0.65,0.65,13.0
6,2005,2.94,3.51,2.08,-0.57,0.86,0.64,9.0,14.0
7,2006,3.64,4.84,3.77,-1.2,-0.14,0.64,2.0,54.0
8,2007,3.14,3.36,2.05,-0.22,1.08,0.63,16.0,29.0
9,2008,0.1,-2.47,-2.81,2.57,2.91,0.52,5.0,29.0
10,2009,9.2,12.91,11.29,-3.72,-2.09,0.5,8.0,70.0
11,2010,2.01,2.38,1.65,-0.37,0.36,0.53,12.0,34.0
12,2011,9.21,10.7,8.9,-1.49,0.32,0.55,13.0,37.0
13,2012,4.68,6.78,4.75,-2.1,-0.08,0.54,9.0,46.0
14,2013,-1.79,-2.55,-2.82,0.77,1.04,0.55,15.0,13.0
15,YTD,5.73,8.5,6.39,-2.77,-0.66,0.56,9.0,54.0
