,Year,FRVLX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.82,21.04,6.78,-21.86,-7.6,1.49,41.0,65.0
1,2000,22.22,-9.1,18.64,31.32,3.58,1.58,45.0,34.0
2,2001,15.12,-11.89,15.92,27.01,-0.8,1.36,43.0,58.0
3,2002,-9.63,-22.1,-10.12,12.47,0.5,1.37,13.0,48.0
4,2003,32.34,28.68,42.38,3.65,-10.05,1.44,1.44,85.0
5,2004,24.81,10.88,21.14,13.93,3.66,1.35,1.35,15.0
6,2005,9.13,4.91,6.4,4.22,2.73,1.29,13.0,20.0
7,2006,16.8,15.79,16.27,1.01,0.53,1.22,17.0,49.0
8,2007,-2.78,5.49,-6.08,-8.28,3.3,1.17,7.0,27.0
9,2008,-32.78,-37.0,-32.24,4.22,-0.55,1.26,19.0,60.0
10,2009,31.57,26.46,31.32,5.11,0.26,1.37,3.0,38.0
11,2010,27.0,15.06,26.17,11.94,0.84,1.27,9.0,36.0
12,2011,-3.66,2.11,-4.45,-5.77,0.79,1.21,14.0,43.0
13,2012,18.35,16.0,16.0,2.34,2.35,1.26,5.0,29.0
14,2013,34.72,32.39,36.22,2.33,-1.5,1.19,13.0,64.0
15,YTD,-0.89,13.98,1.3,-14.87,-2.19,-2.19,-2.19,83.0
